Bairro,mais de 5 salários,Faixa etária,Densidade
São Salvador,3.96,20.75,9880
Ermelinda,6.96,20.77,8997
Boa União 1ª Seção,0,20.78,0
São Marcos,3.46,20.82,11858
Monsenhor Messias,16.39,20.82,12862
Santa Cruz,9.1,20.83,0
Parque São Pedro,4.21,20.83,5669
Prado,29.72,20.84,8712
Vila Vista Alegre,0.9,20.84,30846
Fernão Dias,25.8,20.84,8297
Maria Virgínia,8.64,20.85,0
Caiçaras,15.7,20.85,5855
Concórdia,8.17,20.85,11686
Vila Primeiro de Maio,0.75,20.86,24543
Betânia,7.99,20.87,9195
Floramar,5.33,20.87,9265
Jardim Atlântico,25.55,20.87,1328
Jardim Alvorada,3.14,20.87,0
Urca,1.3,20.88,16211
Padre Eustáquio,19.52,20.91,9691
Barroca,30.99,20.92,13796
Novo São Lucas,26.27,20.92,14021
São João Batista,9.23,20.94,8935
Europa,2.74,20.94,10905
Vila Madre Gertrudes 2ª Seção,0.18,20.95,0
Conjunto Califórnia I,14.78,20.96,10974
Teixeira Dias,7.43,20.98,8430
Serrano,10.42,20.99,9215
Colégio Batista,24.67,21.01,0
Santa Terezinha,5.36,21.02,10699
Parque São José,5.91,21.03,9392
Novo das Industrias,2.65,21.05,0
Bom Jesus,5.38,21.06,13145
Universitário,4.86,21.08,3998
Casa Branca,4.26,21.08,9479
Dom Joaquim,8.98,21.09,5653
Minaslandia,3.96,21.14,0
Novo Tupi,0.79,21.14,9646
São Tomaz,1.1,21.14,0
Nossa Senhora da Conceição,0.93,21.14,31281
Bela Vitoria,2.92,21.17,0
Álvaro Camargos,19.21,21.18,5217
Tupi A,2.19,21.2,11697
Dona Clara,25.73,21.2,11181
Cabana do Pai Tomás,01.07,21.2,35702
Santo Antônio,43.67,21.21,16571
Sport Club,0.32,21.22,16734
São Pedro,41.69,21.22,10854
Cenaculo,3.26,21.22,0
Tupi B,2.31,21.22,10389
Petropolis,2.64,21.23,0
Vila independencia 3ª Seção,0.33,21.26,0
Camponesa 2ª Seção,0,21.29,0
João Pinheiro,12.11,21.31,11301
Goiania,2.88,21.34,0
Lagoinha,11.62,21.34,0
Ernesto Nascimento,3.74,21.34,0
Vila São Paulo,1.33,21.38,25649
Canaa,6.22,21.4,0
Boa Vista,5.73,21.4,14082
Leticia,3.36,21.41,0
Nossa Senhora do Rosário,1.95,21.43,1068
Jardim Guanabara,4.33,21.43,10082
Inconfidência,5.45,21.44,10043
Vila Coqueiral,0.39,21.49,22544
Flavio Marques Lisboa,2.47,21.5,0
São Benedito,0.15,21.5,39925
Copacabana,8.22,21.52,9796
Milionario,4.77,21.52,0
Marieta 1ª Seção,0.84,21.54,0
João Alfredo,2.4,21.56,21722
Maria Tereza,0.33,21.57,0
Vila da Amizade,0.3,21.58,19143
Paquetá,21.57,21.61,4412
Nova Cintra,3.51,21.61,7727
Cardoso,4.81,21.61,11198
Jardim do Vale,0.33,21.65,21902
Vila Petropolis,0,21.68,0
São Gabriel,4.65,21.69,6860
Tiradentes,0.58,21.71,36911
Bernadete,0.57,21.75,10906
Lagoa,0.98,21.77,14533
Oeste,5.97,21.79,4781
Carlos Prates,15.14,21.79,0
Suzana,1.74,21.8,4317
Aparecida 7ª Seção,3.23,21.81,0
Dom Silverio,2.12,21.82,0
Alto dos Pinheiros,10.2,21.82,7580
Venda Nova,3.49,21.82,3495
Vila Esplanada,04.03,21.83,26053
Bonsucesso,1.89,21.84,0
Araguaia,3.52,21.84,10889
Cidade Nova,33.2,21.85,16843
Conjunto Providencia,0,21.9,0
Maria Helena,2.93,21.9,10467
Miramar,5.11,21.91,9584
Coqueiros,4.36,21.91,11326
Guaratã,2.91,21.98,7584
Lourdes,47.35,21.99,15028
Jatobá,1.51,22.01,10383
Vila Engenho Nogueira,0.46,22.02,11435
Embaúbas,0.46,22.03,0
Calafate,24.08,22.05,7160
Dom Cabral,13.68,22.07,7955
Solimoes,1.52,22.09,0
Virgínia,0.56,22.11,15105
Lindéia,1.61,22.12,12540
Frei Leopoldo,1.72,22.14,8044
Piratininga,2.23,22.14,12485
Alto Barroca,28.18,22.14,16549
Vila São Geraldo,1.34,22.15,36400
Mantiqueira,1.51,22.15,6939
Taquaril,1.22,22.19,8050
Jardim Montanhês,11.33,22.2,9978
Corumbiara,0.8,22.21,17630
Granja Werneck,0.79,22.22,0
Jardim Vitoria,1.77,22.25,0
Serra Verde,2.49,22.26,3408
Vitoria da Conquista,0.32,22.26,0
Manacas,11.93,22.26,0
Céu Azul,3.51,22.27,8667
Vila Atila de Paiva,0.08,22.27,0
Alto Vera Cruz,1.87,22.3,24166
Estrela,1.38,22.3,22097
Laranjeiras,0.77,22.31,9056
Heliopolis,12.72,22.31,0
Nova Granada,21.69,22.33,0
Vila Sumaré,0.32,22.33,33943
Monte Azul,0.63,22.36,5942
Etelvina Carneiro,5.18,22.36,7643
Madri,01.01,22.39,6345
Santa Sofia,2.37,22.41,22079
Mala e Cuia,3.45,22.41,30000
Santa Efigênia,25.02,22.42,0
Havaí,10.92,22.45,9674
Olaria,1.13,22.47,9139
Flavio de Oliveira,2.91,22.5,0
Floresta,26.99,22.51,0
Jardim dos Comerciarios,1.32,22.52,0
Vila Independencia 1ª Seção,0.31,22.52,0
Coração de Jesus,42.33,22.56,20465
Mangueiras,03.04,22.59,9245
Vitoria,3.13,22.61,0
Vila Santo Antônio Barroquinha,2.4,22.64,20844
Vila São Dimas,0.63,22.64,19400
Ouro Minas,2.87,22.64,7773
Vila São Gabriel,0,22.66,19091
